Trial,Song,False trials,Performance
Baseline,Tydyy,1,95
Baseline,Tydyy,10,5
Baseline,Tydyy,1,95
Baseline,Tydyy,2,9
Baseline,Tydyy,19,5
Baseline,Tydyy,20,0
Listen,Tydyy,2,93
Listen,Tydyy,5,83
Listen,Tydyy,1,97
Listen,Tydyy,6,80
Listen,Tydyy,25,17
Listen,Tydyy,1,97
Listen,Tydyy,1,97
Listen,Tydyy,18,40
Listen,Tydyy,3,90
Listen,Tydyy,13,57
Listen,Tydyy,1,97
Listen,Tydyy,6,80
Listen,Tydyy,30,0
Listen,Tydyy,30,0
Listen,Tydyy,1,97
Listen,Tydyy,30,0
Sing along,Tydyy,1,97
Sing along,Tydyy,1,97
Sing along,Tydyy,7,77
Sing along,Tydyy,7,77
Sing along,Tydyy,18,40
Sing along,Tydyy,2,93
Sing along,Tydyy,13,57
Sing along,Tydyy,20,33
Sing along,Tydyy,12,60
Sing along,Tydyy,1,97
Sing from memory,Tydyy,3,90
Sing from memory,Tydyy,22,27
Sing from memory,Tydyy,3,90
Sing from memory,Tydyy,1,97
Sing from memory,Tydyy,1,97
Sing from memory,Tydyy,24,20
Sing from memory,Tydyy,13,57
Sing from memory,Tydyy,1,97
Sing from memory,Tydyy,2,93
Baseline,Uulaa,2,90
Baseline,Uulaa,19,5
Baseline,Uulaa,13,35
Baseline,Uulaa,1,95
Baseline,Uulaa,20,0
Baseline,Uulaa,20,0
Listen,Uulaa,3,90
Listen,Uulaa,3,90
Listen,Uulaa,20,33
Listen,Uulaa,10,67
Listen,Uulaa,1,97
Listen,Uulaa,13,57
Listen,Uulaa,11,63
Listen,Uulaa,6,80
Listen,Uulaa,2,93
Listen,Uulaa,27,10
Listen,Uulaa,29,3
Listen,Uulaa,1,97
Listen,Uulaa,30,0
Sing along,Uulaa,1,97
Sing along,Uulaa,2,93
Sing along,Uulaa,1,97
Sing along,Uulaa,1,97
Sing along,Uulaa,1,97
Sing along,Uulaa,6,80
Sing along,Uulaa,20,33
Sing along,Uulaa,1,97
Sing along,Uulaa,15,50
Sing along,Uulaa,1,97
Sing along,Uulaa,6,80
Sing along,Uulaa,2,93
Sing along,Uulaa,1,97
Sing along,Uulaa,3,90
Sing along,Uulaa,1,97
Sing along,Uulaa,1,97
Sing from memory,Uulaa,2,93
Sing from memory,Uulaa,2,93
Sing from memory,Uulaa,1,97
Sing from memory,Uulaa,4,87
Sing from memory,Uulaa,3,90
Sing from memory,Uulaa,10,67
Sing from memory,Uulaa,1,97
Sing from memory,Uulaa,1,97
Sing from memory,Uulaa,1,97
Sing from memory,Uulaa,3,90
Sing from memory,Uulaa,1,97
Sing from memory,Uulaa,1,97
