Trial,Session ,False trials Tydyy,False trials Uulaa,False trials ses1 TU,Performance ses1 Tydyy,Performance ses1 Uulaa,Performance ses1 TU ,Session,False trials Tydyy,False trials Uulaa,False trials ses2 TU,Performance ses2 Tydyy,Performance ses2 Uulaa,Performance ses2 TU ,Session 3,False Trials ses3 Tydyy,False trials ses3 Uulaa,False trials ses3 TU,Performance ses3 Tydyy,Performance ses3 Uulaa,Performance ses3 TU
Baseline,1,1,2,3,95,90,93,2,20,1,21,95,95,95,3,1,2,3,95,90,93
Baseline,1,1,1,2,95,95,95,2,1,0,1,95,100,98,3,1,0,1,95,100,98
Baseline,1,4,1,5,80,95,88,2,1,0,1,100,100,100,3,0,0,0,100,100,100
Baseline,1,4,7,11,80,65,73,2,1,0,1,100,100,100,3,0,0,0,100,100,100
Baseline,1,10,1,11,50,95,73,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,20,20,100,0,50,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Baseline,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Listen,1,7,1,8,77,97,87,2,30,1,31,93,97,95,3,2,3,5,93,90,92
Listen,1,12,1,13,60,97,78,2,2,19,21,83,37,60,3,5,20,25,83,33,58
Listen,1,25,1,26,17,97,57,2,8,2,10,97,93,95,3,1,1,2,97,97,97
Listen,1,20,1,21,33,97,65,2,7,1,8,80,97,88,3,6,2,8,80,93,87
Listen,1,5,2,7,83,93,88,2,2,5,7,17,83,50,3,25,1,26,17,97,57
Listen,1,30,1,31,0,97,48,2,3,27,30,97,10,53,3,1,30,31,97,0,48
Listen,1,28,8,36,7,73,40,2,4,5,9,97,83,90,3,1,0,1,97,100,98
Listen,1,21,15,36,30,50,40,2,30,30,60,80,0,40,3,6,0,6,80,100,90
Listen,1,8,3,11,73,90,82,2,12,0,12,97,100,98,3,1,0,1,97,100,98
Listen,1,29,27,56,3,10,7,2,30,0,30,0,100,50,3,30,0,30,0,100,50
Listen,1,0,21,21,100,30,65,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Listen,1,0,3,3,100,90,95,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Listen,1,0,12,12,100,60,80,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Listen,1,0,30,30,100,0,50,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Listen,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Listen,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Listen,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Listen,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Listen,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing along,1,14,4,18,53,87,70,2,4,1,5,97,97,97,3,1,1,2,97,97,97
Sing along,1,16,1,17,47,97,72,2,3,9,12,77,70,73,3,7,2,9,77,93,85
Sing along,1,1,26,27,97,13,55,2,8,23,31,77,23,50,3,7,1,8,77,97,87
Sing along,1,7,14,21,77,53,65,2,22,2,24,40,93,67,3,18,1,19,40,97,68
Sing along,1,17,5,22,43,83,63,2,1,7,8,93,77,85,3,2,1,3,93,97,95
Sing along,1,0,3,3,100,90,95,2,0,3,3,57,90,73,3,13,6,19,57,80,68
Sing along,1,0,9,9,100,70,85,2,0,1,1,100,97,98,3,0,20,20,100,33,67
Sing along,1,0,1,1,100,97,98,2,0,0,0,100,100,100,3,0,1,1,100,97,98
Sing along,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,1,1,100,97,98
Sing along,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,1,1,100,97,98
Sing along,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
Sing along,1,0,0,0,100,100,100,2,0,0,0,100,100,100,3,0,0,0,100,100,100
