Trial,Session ,False trials,Performance,Session,False trials,Performance,Session,False trials,Performance
Baseline,1,1,95,2,20,0,3,1,95
Baseline,1,1,95,2,1,95,3,1,95
Baseline,1,4,80,2,1,95,3,0,100
Baseline,1,4,80,2,1,95,3,0,100
Baseline,1,10,50,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Baseline,1,0,100,2,0,100,3,0,100
Listen,1,7,77,2,30,0,3,2,93
Listen,1,12,60,2,2,93,3,5,83
Listen,1,25,17,2,8,73,3,1,97
Listen,1,20,33,2,7,77,3,6,80
Listen,1,5,83,2,2,93,3,25,17
Listen,1,30,0,2,3,90,3,1,97
Listen,1,28,7,2,4,87,3,1,97
Listen,1,21,30,2,30,0,3,6,80
Listen,1,8,73,2,12,60,3,1,97
Listen,1,29,3,2,30,0,3,30,0
Listen,1,0,100,2,0,100,3,0,100
Listen,1,0,100,2,0,100,3,0,100
Listen,1,0,100,2,0,100,3,0,100
Listen,1,0,100,2,0,100,3,0,100
Listen,1,0,100,2,0,100,3,0,100
Listen,1,0,100,2,0,100,3,0,100
Listen,1,0,100,2,0,100,3,0,100
Listen,1,0,100,2,0,100,3,0,100
Listen,1,0,100,2,0,100,3,0,100
Sing along,1,14,53,2,4,87,3,1,97
Sing along,1,16,47,2,3,90,3,7,77
Sing along,1,1,97,2,8,73,3,7,77
Sing along,1,7,77,2,22,27,3,18,40
Sing along,1,17,43,2,1,97,3,2,93
Sing along,1,0,100,2,0,100,3,13,57
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing along,1,0,100,2,0,100,3,0,100
Sing from memory ,1,3,90,2,1,97,3,3,90
Sing from memory ,1,1,97,2,3,90,3,22,27
Sing from memory ,1,19,37,2,4,87,3,3,90
Sing from memory ,1,10,67,2,9,70,3,1,97
Sing from memory ,1,11,63,2,5,83,3,1,97
Sing from memory ,1,30,0,2,29,3,3,2,93
Sing from memory ,1,3,90,2,26,13,3,0,100
Sing from memory ,1,30,0,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
Sing from memory ,1,0,100,2,0,100,3,0,100
